;Name;leaning;type;url;X;X.1;domain
726;News.com.au;Right-Center;reliable;http://www.news.com.au/;Left-Center;;news
727;News24 (South Africa);least;reliable;http://www.news24.com/;least;;news24
728;Newsday;Left-Center;reliable;http://www.newsday.com/;Left-Center;;newsday
729;Newser;Left-Center;reliable;http://www.newser.com;Left-Center;;newser
730;News Lookup;least;reliable;http://www.newslookup.com;least;;newslookup
731;Newsmax;Right;questionable;http://www.newsmax.com/;Right;;newsmax
732;Raleigh News & Observer;Left-Center;reliable;http://www.newsobserver.com/;Left-Center;;newsobserver
733;Newsweek;left;reliable;http://www.newsweek.com/;Left;;newsweek
734;Newsy;Left-Center;reliable;http://www.newsy.com/;Left-Center;;newsy
735;NewzJunky.com;least;reliable;http://www.newzjunky.com/;least;;newzjunky
736;Times-Picayune;Left-Center;reliable;http://www.nola.com/#/0;Left-Center;;nola
737;North Korea Times;least;reliable;http://www.northkoreatimes.com;least;;northkoreatimes
738;Novinite;least;reliable;http://www.novinite.com/;least;;novinite
739;NPR;Left-Center;reliable;http://www.npr.org/sections/news/;Left-Center;;npr
740;NTD.TV (New Tang Dynasty);Right-Center;reliable;http://www.ntd.tv/;Right-Center;;ntd
741;Northwest Indiana Times;least;reliable;http://www.nwitimes.com;least;;nwitimes
742;Spectrum News – NY1;least;reliable;http://www.ny1.com/nyc/all-boroughs;least;;ny1
743;New York Daily News;Left-Center;reliable;http://www.nydailynews.com/;Left-Center;;nydailynews
744;New Zealand Herald;least;reliable;http://www.nzherald.co.nz;least;;nzherald
745;One America News Network;Right;reliable;http://www.oann.com/;Right;;oann
746;Orange County Register;least;reliable;http://www.ocregister.com/;Right-Center;;ocregister
747;Akron Beacon Journal;Left-Center;reliable;http://www.ohio.com/ ;Left-Center;;ohio
748;The Oklahoman;Right-Center;reliable;http://www.oklahoman.com/live;Right-Center;;oklahoman
749;One Green Planet;left;reliable;http://www.onegreenplanet.org;Left;;onegreenplanet
750;OneNewsNow;Right;reliable;http://www.onenewsnow.com/;Right;;onenewsnow
751;Open the Government;least;reliable;http://www.openthegovernment.org/;least;;openthegovernment
752;Opposing Views;Left-Center;reliable;http://www.opposingviews.com/;Left-Center;;opposingviews
753;OpsLens;Right;reliable;http://www.opslens.com/;Right;;opslens
754;Oregonian;Right-Center;reliable;http://www.oregonlive.com/#/0;Right-Center;;oregonlive
755;Orlando Sentinel;Left-Center;reliable;http://www.orlandosentinel.com/;Right-Center;;orlandosentinel
756;Ozy Media;Left-Center;reliable;http://www.ozy.com/;Left-Center;;ozy
757;Pacific Pundit;extreme right;questionable;http://www.pacificpundit.com/;extreme right;questionable;pacificpundit
758;Pacific Research Institute;Right-Center;reliable;http://www.pacificresearch.org/home/;Right-Center;;pacificresearch
759;Palmer Report;left;reliable;http://www.palmerreport.com/;Left;;palmerreport
760;The Pantagraph;least;reliable;http://www.pantagraph.com/;least;;pantagraph
761;PBS News Hour;Left-Center;reliable;http://www.pbs.org/newshour/;Left-Center;;pbs
762;The Press-Enterprise;Right-Center;reliable;http://www.pe.com/;Right-Center;;pe
763;Peacock Panache;left;reliable;http://www.peacock-panache.com;Left;;peacock-panache
764;Peninsula Daily News;Right-Center;reliable;http://www.peninsuladailynews.com/;Right-Center;;peninsuladailynews
765;The Patriot-News;Left-Center;reliable;http://www.pennlive.com/;Left-Center;;pennlive
766;Pew Research;least;reliable;http://www.pewresearch.org/;least;;pewresearch
767;People for the American Way (PFAW);left;reliable;http://www.pfaw.org;Left;;pfaw
768;Peterson Foundation;least;reliable;http://www.pgpf.org/;least;;pgpf
769;Philadelphia Inquirer;Left-Center;reliable;http://www.philly.com/inquirer/;Left-Center;;philly
770;The Phnom Penh Post;least;reliable;http://www.phnompenhpost.com/;least;;phnompenhpost
771;Pink News;left;reliable;http://www.pinknews.co.uk/home/;Left;;pinknews
772;Pocono Record;least;reliable;http://www.poconorecord.com/;least;;poconorecord
773;Politico;Left-Center;reliable;http://www.politico.com/;least;;politico
774;Politifact News;extreme right;questionable;http://www.politifact.news/;NA;NA;politifact
775;Polygraph.info;least;reliable;http://www.polygraph.info/;least;;polygraph
776;Population Connection;Left-Center;reliable;http://www.populationconnection.org;Left-Center;;populationconnection
777;Pittsburgh Post-Gazette;Right-Center;reliable;http://www.post-gazette.com/;Right-Center;;post-gazette
778;The Post and Courier;least;reliable;http://www.postandcourier.com/;least;;postandcourier
779;Post-Bulletin;Right-Center;reliable;http://www.postbulletin.com/;Right-Center;;postbulletin
780;Poynter Institute;least;reliable;http://www.poynter.org/;least;;poynter
781;Pravda Report;Right;questionable;http://www.pravdareport.com/;Left;;pravdareport
782;The Press Democrat;Left-Center;reliable;http://www.pressdemocrat.com;Left-Center;;pressdemocrat
783;Portland Press-Herald;Left-Center;reliable;http://www.pressherald.com/;Left-Center;;pressherald
784;Press TV;Right;questionable;http://www.presstv.com/;Left-Center;;presstv
785;Global Post;Left-Center;reliable;http://www.pri.org/programs/globalpost;Left-Center;;pri
786;The Progressive;left;reliable;http://www.progressive.org/;Left;;progressive
787;Prospect Magazine;Left-Center;reliable;http://www.prospectmagazine.co.uk/;Left-Center;;prospectmagazine
788;Providence Journal;Left-Center;reliable;http://www.providencejournal.com/;Left-Center;;providencejournal
789;Puppet String News;extreme right;questionable;http://www.puppetstringnews.com/;extreme right;questionable;puppetstringnews
790;Rappler;left;reliable;http://www.rappler.com/;Left;;rappler
791;Rasmussen Reports;Right-Center;reliable;http://www.rasmussenreports.com/;Right-Center;;rasmussenreports
792;Raw Story;left;reliable;http://www.rawstory.com/;Left;;rawstory
793;Reading the Pictures;left;reliable;http://www.readingthepictures.org;Left;;readingthepictures
794;Real Clear Defense;Right-Center;reliable;http://www.realcleardefense.com/;Right-Center;;realcleardefense
795;Real Clear Investigations;Right-Center;reliable;http://www.realclearinvestigations.com/;Right-Center;;realclearinvestigations
796;Real Clear Policy;Right-Center;reliable;http://www.realclearpolicy.com/;Right-Center;;realclearpolicy
797;Real Clear Politics;Right-Center;reliable;http://www.realclearpolitics.com/;Right-Center;;realclearpolitics
798;Red Pepper;left;reliable;http://www.redpepper.org.uk/;Left;;redpepper
799;Renew America;extreme right;questionable;http://www.renewamerica.com;extreme right;questionable;renewamerica
800;Waterbury Republican-American;Right-Center;reliable;http://www.rep-am.com/;Right-Center;;rep-am
801;Republic World;Right-Center;reliable;http://www.republicworld.com/;Right-Center;;republicworld
802;Natural Resource Governance Institute;Left-Center;reliable;http://www.resourcegovernance.org/;Left-Center;;resourcegovernance
803;Restore American Glory;Right;reliable;http://www.restoreamericanglory.com/;Right;;restoreamericanglory
804;Reuters;least;reliable;http://www.reuters.com/;least;;reuters
805;Las Vegas Review Journal;Right-Center;reliable;http://www.reviewjournal.com/;Right-Center;;reviewjournal
806;Radio Free Asia;Left-Center;reliable;http://www.rfa.org/english/;Left-Center;;rfa
807;Right Wing Watch;left;reliable;http://www.rightwingwatch.org/;Left;;rightwingwatch
808;Rodong Sinmun (North Korea);extreme left;questionable;http://www.rodong.rep.kp/en;NA;NA;rodong
809;Roll Call;least;reliable;http://www.rollcall.com/;least;;rollcall
810;Rolling Stone;left;reliable;http://www.rollingstone.com/;Left-Center;;rollingstone
811;The Ron Paul Institute;Right;reliable;http://www.ronpaulinstitute.org/;Right;;ronpaulinstitute
812;Ron Paul Liberty Report;Right;reliable;http://www.ronpaullibertyreport.com/;Right;;ronpaullibertyreport
813;R Street Institute;Right-Center;reliable;http://www.rstreet.org/;Right-Center;;rstreet
814;Russian Media Monitor;least;reliable;http://www.russialies.com;least;;russialies
815;Ruth Institute;extreme right;questionable;http://www.ruthinstitute.org;extreme right;questionable;ruthinstitute
816;Sacramento Bee;Left-Center;reliable;http://www.sacbee.com/;Left-Center;;sacbee
817;The Reality-Based Community;left;reliable;http://www.samefacts.com/;Left;;samefacts
818;San Diego Union Tribune;least;reliable;http://www.sandiegouniontribune.com/;least;;sandiegouniontribune
819;Sayfie Review;least;reliable;http://www.sayfiereview.com/;least;;sayfiereview
820;Scary Mommy;left;reliable;http://www.scarymommy.com/;Left;;scarymommy
821;Scoopnest;least;reliable;http://www.scoopnest.com/;least;;scoopnest
822;The Scotsman;least;reliable;http://www.scotsman.com;least;;scotsman
823;SCOTUSblog;least;reliable;http://www.scotusblog.com/;least;;scotusblog
824;St. Cloud Times;least;reliable;http://www.sctimes.com/;least;;sctimes
825;Seattle Post-Intelligencer;Left-Center;reliable;http://www.seattlepi.com/;Left-Center;;seattlepi
826;Seattle Times;Left-Center;reliable;http://www.seattletimes.com/;Left-Center;;seattletimes
827;Secure America Now;NA;questionable;http://www.secureamericanow.org/;Right;;secureamericanow
828;San Francisco Chronicle;Left-Center;reliable;http://www.sfchronicle.com/;Left-Center;;sfchronicle
829;San Francisco Examiner;Left-Center;reliable;http://www.sfexaminer.com;Left-Center;;sfexaminer
830;SFGate;Left-Center;reliable;http://www.sfgate.com/;Left-Center;;sfgate
831;Shareably;least;reliable;http://www.shareably.net/;least;;shareably
832;SHTFplan.com;extreme right;questionable;http://www.shtfplan.com/;extreme right;questionable;shtfplan
833;Staten Island Advance;Left-Center;reliable;http://www.silive.com/;Left-Center;;silive
834;Simple Politics;least;reliable;http://www.simplepolitics.co.uk;least;;simplepolitics
835;Slate;left;reliable;http://www.slate.com/;Left;;slate
836;Salt Lake Tribune;Left-Center;reliable;http://www.sltrib.com/;Left-Center;;sltrib
837;The Sydney Morning Herald;Left-Center;reliable;http://www.smh.com.au/;Left-Center;;smh
838;SourceWatch;left;reliable;http://www.sourcewatch.org/index.php/SourceWatch;Left;;sourcewatch
839;Spiegel Online;Left-Center;reliable;http://www.spiegel.de/international/;Left-Center;;spiegel
840;London Evening Standard;Right-Center;reliable;http://www.standard.co.uk/;Right-Center;;standard
841;Fort Worth Star-Telegram;Right-Center;reliable;http://www.star-telegram.com/;Right-Center;;star-telegram
842;Honolulu Star-Advertiser;Left-Center;reliable;http://www.staradvertiser.com/;Left-Center;;staradvertiser
843;Stares at the World;extreme right;questionable;http://www.staresattheworld.com/;extreme right;questionable;staresattheworld
844;Austin American-Statesman;Left-Center;reliable;http://www.statesman.com/;Left-Center;;statesman
845;Statesman Journal;least;reliable;http://www.statesmanjournal.com/;Right-Center;;statesmanjournal
846;The Straits Times;Right-Center;reliable;http://www.straitstimes.com/global;Right-Center;;straitstimes
847;Strategic Culture Foundation;extreme right;questionable;http://www.strategic-culture.org/;Right-Center;;strategic-culture
848;South Florida Sun-Sentinel;least;reliable;http://www.sun-sentinel.com/;Right-Center;;sun-sentinel
849;Williamsport Sun-Gazette;Right-Center;reliable;http://www.sungazette.com/;Right-Center;;sungazette
850;Syriana Analysis;left;reliable;http://www.syriana-analysis.com;Left;;syriana-analysis
851;Syria News;NA;questionable;http://www.syrianews.cc/;NA;NA;syrianews
852;Tablet Magazine;Left-Center;reliable;http://www.tabletmag.com/;Left-Center;;tabletmag
853;Taipei Times;least;reliable;http://www.taipeitimes.com/;least;;taipeitimes
854;Tampa Bay Times;Left-Center;reliable;http://www.tampabay.com/;Left-Center;;tampabay
855;Canadian Taxpayers Federation;Right-Center;reliable;http://www.taxpayer.com/;Right-Center;;taxpayer
856;Tax Policy Center;Left-Center;reliable;http://www.taxpolicycenter.org;Left-Center;;taxpolicycenter
857;Tea Party Patriots;extreme right;questionable;http://www.teapartypatriots.org/;Right;;teapartypatriots
858;Daily Telegraph (UK);Right;reliable;http://www.telegraph.co.uk/;Right;;telegraph
859;The Tennessean;least;reliable;http://www.tennessean.com/;Right-Center;;tennessean
860;Texas Standard;least;reliable;http://www.texasstandard.org/;least;;texasstandard
861;Tharawat Magazine;Right-Center;reliable;http://www.tharawat-magazine.com/#gs.a9CcWpc;Right-Center;;tharawat-magazine
862;The American Interest;Right-Center;reliable;http://www.the-american-interest.com/;Right-Center;;the-american-interest
863;The Age (Australia);Left-Center;reliable;http://www.theage.com.au/;Left-Center;;theage
864;The American Conservative;Right-Center;reliable;http://www.theamericanconservative.com/;Right-Center;;theamericanconservative
865;The Australian;Right-Center;reliable;http://www.theaustralian.com.au/;Right-Center;;theaustralian
866;The Burning Spear;left;reliable;http://www.theburningspear.com/;Left;;theburningspear
867;The Canadian Press;least;reliable;http://www.thecanadianpress.com/;least;;thecanadianpress
868;The Canary (UK);left;reliable;http://www.thecanary.co/;Left;;thecanary
869;The Christian Left;Left-Center;reliable;http://www.thechristianleft.org/;Left-Center;;thechristianleft
870;The College Fix;Right;reliable;http://www.thecollegefix.com/;Right;;thecollegefix
871;Daily Beast;left;reliable;http://www.thedailybeast.com/;Left;;thedailybeast
872;The Daily Bell;Right;questionable;http://www.thedailybell.com/;Right;questionable;thedailybell
873;Daily Liberator;Right;reliable;http://www.thedailyliberator.com/;Right;;thedailyliberator
874;The Day (New London);least;reliable;http://www.theday.com;least;;theday
875;The Epoch Times;Right;questionable;http://www.theepochtimes.com/;Right-Center;;theepochtimes
876;The Fiscal Times;Right-Center;reliable;http://www.thefiscaltimes.com/;Right-Center;;thefiscaltimes
877;The Frisky;left;reliable;http://www.thefrisky.com/;Left;;thefrisky
878;The Gateway Pundit;extreme right;questionable;http://www.thegatewaypundit.com/;extreme right;questionable;thegatewaypundit
879;The Gazette (Cedar Rapids);Right-Center;reliable;http://www.thegazette.com/;Right-Center;;thegazette
880;The Globe and Mail (Toronto);Right-Center;reliable;http://www.theglobeandmail.com/;Right-Center;;theglobeandmail
881;Hindu Business Line;Right-Center;reliable;http://www.thehindubusinessline.com/;Right-Center;;thehindubusinessline
882;The Jakarta Post;Left-Center;reliable;http://www.thejakartapost.com/;least;;thejakartapost
883;TheJournal.ie;Left-Center;reliable;http://www.thejournal.ie/;least;;thejournal
884;The Liberty Eagle;extreme right;questionable;http://www.thelibertyeagle.com;extreme right;questionable;thelibertyeagle
885;The Local (Norway);Left-Center;reliable;http://www.thelocal.no/;Left-Center;;thelocal
886;The Militant;left;reliable;http://www.themilitant.com/;Left;;themilitant
887;The National (UAE);Right-Center;questionable;http://www.thenational.ae/;Right-Center;;thenational
888;The National Patriot;extreme right;questionable;http://www.thenationalpatriot.com/;extreme right;questionable;thenationalpatriot
889;The New Atlantis;Right-Center;reliable;http://www.thenewatlantis.com/;Right-Center;;thenewatlantis
890;The New Civil Rights Movement;left;reliable;http://www.thenewcivilrightsmovement.com/;Left;;thenewcivilrightsmovement
891;The News (Mexico City);least;reliable;http://www.thenews.mx/;least;;thenews
892;The News Literacy Project;least;reliable;http://www.thenewsliteracyproject.org/;least;;thenewsliteracyproject
893;The News Tribune;Left-Center;reliable;http://www.thenewstribune.com/;Left-Center;;thenewstribune
894;The Olympian;Left-Center;reliable;http://www.theolympian.com;Left-Center;;theolympian
895;Political Insider;extreme right;questionable;http://www.thepoliticalinsider.com/;Right;;thepoliticalinsider
896;The Politics Online;extreme right;questionable;http://www.thepolitics.online;NA;NA;thepolitics
897;The Root;left;reliable;http://www.theroot.com/;Left;;theroot
898;The Skimm;Left-Center;reliable;http://www.theskimm.com/;least;;theskimm
899;The Smoking Gun;Right-Center;reliable;http://www.thesmokinggun.com/;Right-Center;;thesmokinggun
900;The State;Left-Center;reliable;http://www.thestate.com/;Left-Center;;thestate
901;The Stranger;left;reliable;http://www.thestranger.com/;Left-Center;;thestranger
902;The Truth About Guns;Right;reliable;http://www.thetruthaboutguns.com/;Right;;thetruthaboutguns
903;Third Way;least;reliable;http://www.thirdway.org/;least;;thirdway
904;The Zero Hour;left;reliable;http://www.thisisthezerohour.com/;Left-Center;;thisisthezerohour
905;Times Headline;Left-Center;reliable;http://www.timesheadline.com;Left-Center;;timesheadline
906;Times of Israel;Left-Center;reliable;http://www.timesofisrael.com/;Left-Center;;timesofisrael
907;Albany Times-Union;Left-Center;reliable;http://www.timesunion.com/;Left-Center;;timesunion
908;Today I Found Out;least;reliable;http://www.todayifoundout.com/;least;;todayifoundout
909;Toledo Blade;Right-Center;reliable;http://www.toledoblade.com/;Right-Center;;toledoblade
910;Toronto Sun;Right;reliable;http://www.torontosun.com/;Right;;torontosun
911;Towleroad;left;reliable;http://www.towleroad.com/;Left;;towleroad
912;Transpartisan Review;least;reliable;http://www.transpartisanreview.com/;least;;transpartisanreview
913;True Activist;extreme left;questionable;http://www.trueactivist.com/;extreme left;questionable;trueactivist
914;Truth and Action;extreme right;questionable;http://www.truthandaction.org/;extreme right;questionable;truthandaction
915;TVW Washington State;least;reliable;http://www.tvw.org/;least;;tvw
916;St. Paul Pioneer Press;Left-Center;reliable;http://www.twincities.com/;Left-Center;;twincities
917;Twisted News;Right;questionable;http://www.twisted.news/;;conspiracy-pseudoscience;twisted
918;Unicorn Riot;left;reliable;http://www.unicornriot.ninja/;Left-Center;;unicornriot
919;The Unz Review;extreme right;questionable;http://www.unz.com/;extreme right;questionable;unz
920;United Press International (UPI);least;reliable;http://www.upi.com/;least;;upi
921;Urban Institute;Left-Center;reliable;http://www.urban.org/;Left-Center;;urban
922;USAFacts;least;reliable;http://www.usafacts.org/;least;;usafacts
923;Flex Mag;extreme right;questionable;http://www.usafortrumponline.com;NA;NA;usafortrumponline
924;USA Politics Today;Right;reliable;http://www.usapoliticstoday.com/;Right;;usapoliticstoday
925;USA Supreme;extreme right;questionable;http://www.usasupreme.com/;extreme right;questionable;usasupreme
926;USA Today;Left-Center;reliable;http://www.usatoday.com/;Left-Center;;usatoday
927;US Chronicle;extreme right;questionable;http://www.uschronicle.com/;NA;NA;uschronicle
928;Vaccine News;extreme right;questionable;http://www.vaccines.news;;conspiracy-pseudoscience;vaccines
929;Red River Valley News;Right-Center;reliable;http://www.valleynewslive.com/;Right-Center;;valleynewslive
930;ValueWalk;Right-Center;reliable;http://www.valuewalk.com/;Right-Center;;valuewalk
931;Vermont Independent;left;reliable;http://www.vermontindependent.org/;Left;;vermontindependent
932;The Village Voice;left;reliable;http://www.villagevoice.com/;Left;;villagevoice
933;Viral Thread;least;reliable;http://www.viralthread.com/;least;;viralthread
934;Vocativ;least;reliable;http://www.vocativ.com/;least;;vocativ
935;Voice of San Diego;Left-Center;reliable;http://www.voiceofsandiego.org/;least;;voiceofsandiego
936;Vulture;Left-Center;reliable;http://www.vulture.com;Left-Center;;vulture
937;Washington Blade;Left-Center;reliable;http://www.washingtonblade.com/;Left-Center;;washingtonblade
938;Washington Times;Right-Center;questionable;http://www.washingtontimes.com/;Right-Center;;washingtontimes
939;Weasel Zippers;Right;reliable;http://www.weaselzippers.us/;Right;;weaselzippers
940;Weekly Standard;Right;reliable;http://www.weeklystandard.com/;Right;;weeklystandard
941;Western Free Press;Right;reliable;http://www.westernfreepress.com/;Right;;westernfreepress
942;WestMonster;Right;reliable;http://www.westmonster.com/;Right;;westmonster
943;Whatfinger;Right;reliable;http://www.whatfinger.com/;Right;;whatfinger
944;WION (World is One News);least;reliable;http://www.wionews.com/;least;;wionews
945;WNYC;Left-Center;reliable;http://www.wnyc.org/;Left-Center;;wnyc
946;Workers World;left;reliable;http://www.workers.org/;Left;;workers
947;World Policy Institute;Left-Center;reliable;http://www.worldpolicy.org/;Left-Center;;worldpolicy
948;World Politics Review;least;reliable;http://www.worldpoliticsreview.com/;least;;worldpoliticsreview
949;Socialist Standard;left;reliable;http://www.worldsocialism.org/spgb/;Left;;worldsocialism
950;WRAL;least;reliable;http://www.wral.com/;least;;wral
951;World Resources Institute (WRI);least;reliable;http://www.wri.org/;least;;wri
952;World Socialist Web Site;left;reliable;http://www.wsws.org/;Left;;wsws
953;Xinhua News Agency;Left-Center;reliable;http://www.xinhuanet.com/english/home.htm;Left-Center;;xinhuanet
954;York Daily Record;Left-Center;reliable;http://www.ydr.com/;Left-Center;;ydr
955;YnetNews;Left-Center;reliable;http://www.ynetnews.com/;Left-Center;;ynetnews
956;Young Conservatives;Right;reliable;http://www.youngcons.com/;Right;;youngcons
957;Die Zeit;Left-Center;reliable;http://www.zeit.de/english/index;Left-Center;;zeit
958;ZootFeed;extreme right;questionable;http://www.zootfeed.com/;NA;NA;zootfeed
959;Christian Broadcasting Network (CBN);Right;questionable;http://www1.cbn.com;NA;NA;cbn
960;Your Black World;left;reliable;http://yourblackworld.net;Left;;yourblackworld
961;100% Fed up;extreme right;questionable;https://100percentfedup.com/;NA;NA;100percentfedup
962;1010 WINS AM;least;reliable;https://1010wins.radio.com/;NA;NA;radio
963;2ndVote;Right;reliable;https://2ndvote.com/;Right;;2ndvote
964;604 Now;Left-Center;reliable;https://604now.com/;NA;NA;604now
965;71 Republic;Right-Center;reliable;https://71republic.com/;Right-Center;;71republic
966;79Days.News;extreme right;questionable;https://79days.news/;NA;NA;79days
967;7NEWS;Right-Center;reliable;https://7news.com.au/;NA;NA;7news
968;972 Magazine;Left-Center;reliable;https://972mag.com/;NA;NA;972mag
969;Association of American Physicians and Surgeons (AAPS);extreme right;questionable;https://aapsonline.org/;NA;NA;aapsonline
970;ABC7Chicago.com;least;reliable;https://abc7chicago.com/;NA;NA;abc7chicago
971;ABC7 New York;least;reliable;https://abc7ny.com/;NA;NA;abc7ny
972;Abort73;Right;reliable;https://abort73.com;Right;;abort73
973;ACHNews;left;reliable;https://achnews.org/;NA;NA;achnews
974;American Center for Law & Justice (ACLJ);Right;reliable;https://aclj.org/;Right;;aclj
975;Activist Mommy;extreme right;questionable;https://activistmommy.com;extreme right;questionable;activistmommy
976;Aeon;Left-Center;reliable;https://aeon.co/;Left-Center;;aeon
977;Africa Check;least;reliable;https://africacheck.org;NA;NA;africacheck
978;Ahval News;Left-Center;reliable;https://ahvalnews.com/;NA;NA;ahvalnews
979;Airwars;least;reliable;https://airwars.org/;least;;airwars
980;AjuaNews.com;extreme right;questionable;https://ajuanews.com/;Extreme Right;questionable;ajuanews
981;Al-Sura;Left-Center;reliable;https://al-sura.com;Left-Center;;al-sura
982;Alberta Views;Left-Center;reliable;https://albertaviews.ca;NA;NA;albertaviews
983;Aleteia;Right-Center;reliable;https://aleteia.org;Right-Center;;aleteia
984;AllAfrica;least;reliable;https://allafrica.com;least;;allafrica
985;Allied Progress;Left-Center;reliable;https://alliedprogress.org;Left-Center;;alliedprogress
986;Alpha News;extreme right;questionable;https://alphanewsmn.com/;extreme right;questionable;alphanewsmn
987;AltNewsMedia.net;Right;reliable;https://altnewsmedia.net;Right;;altnewsmedia
988;Alabama Today;least;reliable;https://altoday.com/;least;;altoday
989;AltRight.com;extreme right;questionable;https://altright.com/;extreme right;questionable;altright
990;AMAC (Association of Mature American Citizens);Right;reliable;https://amac.us/;NA;NA;amac
991;China Global Television Network;Left-Center;questionable;https://america.cgtn.com/;NA;NA;cgtn
992;American Affairs Journal;Right-Center;reliable;https://americanaffairsjournal.org;Right-Center;;americanaffairsjournal
993;American Bridge 21st Century;left;reliable;https://americanbridgepac.org/;Left;;americanbridgepac
994;American Consequences;Right;reliable;https://americanconsequences.com;Right;;americanconsequences
995;American Lookout;extreme right;questionable;https://americanlookout.com/;extreme right;questionable;americanlookout
996;American Military News;least;reliable;https://americanmilitarynews.com;least;;americanmilitarynews
997;American People Daily;extreme right;questionable;https://americanpeopledaily.com/;NA;NA;americanpeopledaily
998;American Principles Project;extreme right;questionable;https://americanprinciplesproject.org/;extreme right;questionable;americanprinciplesproject
999;Americans for Truth;extreme right;questionable;https://americansfortruth.com;Extreme Right;questionable;americansfortruth
1000;America Talks with David Zublick;extreme right;questionable;https://americatalks.com;Extreme Right;questionable;americatalks
1001;American Greatness;Right;reliable;https://amgreatness.com;Right;;amgreatness
1002;Amity;left;questionable;https://amityunderground.com;NA;NA;amityunderground
1003;Angry White Men;left;reliable;https://angrywhitemen.org;Left;;angrywhitemen
1004;Alliance for Natural Health (ANH-USA);NA;questionable;https://anh-usa.org;NA;NA;anh-usa
1005;Antelope Valley Today;Right-Center;questionable;https://antelopevalleytoday.com/;NA;NA;antelopevalleytoday
1006;Anti-Fascist News;left;reliable;https://antifascistnews.net/;Left;;antifascistnews
1007;Associated Press;least;reliable;https://apnews.com/;least;;apnews
1008;Arizona Daily Independent;Right;reliable;https://arizonadailyindependent.com;Right;;arizonadailyindependent
1009;Asian Correspondent;Left-Center;reliable;https://asiancorrespondent.com/;Left-Center;;asiancorrespondent
1010;Auburn Times;Right-Center;questionable;https://auburntimes.com/;NA;NA;auburntimes
1011;Arizona Capitol Times;least;reliable;https://azcapitoltimes.com/;least;;azcapitoltimes
1012;BackChannel;Left-Center;reliable;https://backchannel.com/;Left-Center;;backchannel
1013;Baldwin Times;Right-Center;questionable;https://baldwintimes.com/;NA;NA;baldwintimes
1014;Balkan Insight;Left-Center;reliable;https://balkaninsight.com/;Left-Center;;balkaninsight
1015;Ballotpedia;least;reliable;https://ballotpedia.org/Main_Page;least;;ballotpedia
1016;Banned.Video;extreme right;questionable;https://banned.video/;NA;NA;banned
1017;Baptist News Global;Left-Center;reliable;https://baptistnews.com/;Left-Center;;baptistnews
1018;BDnews24.com;Left-Center;questionable;https://bdnews24.com/;NA;NA;bdnews24
1019;Bearing Arms;Right;reliable;https://bearingarms.com/;Right;;bearingarms
1020;Being Libertarian;Right-Center;reliable;https://beinglibertarian.com/;Right;;beinglibertarian
1021;Benton Times;Right-Center;questionable;https://bentontimes.com/;NA;NA;bentontimes
1022;Big Think;least;reliable;https://bigthink.com/;least;;bigthink
1023;BioDefense;extreme right;questionable;https://biodefense.com/;NA;NA;biodefense
1024;Bipartisan Policy Center;Right-Center;reliable;https://bipartisanpolicy.org;Right-Center;;bipartisanpolicy
1025;Bitch Media;left;reliable;https://bitchmedia.org/;Left;;bitchmedia
1026;Black Eye Politics;extreme right;questionable;https://blackeyepolitics.com;Extreme Right;questionable;blackeyepolitics
1027;Vanguard America;extreme right;questionable;https://bloodandsoil.org/;extreme right;questionable;bloodandsoil
1028;Blue State Daily;left;reliable;https://bluestatedaily.com;Left;;bluestatedaily
1029;Blunt Force Truth;extreme right;questionable;https://bluntforcetruth.com;extreme right;questionable;bluntforcetruth
1030;Bongino.com;extreme right;questionable;https://bongino.com;Right;questionable;bongino
1031;Bossip;extreme left;questionable;https://bossip.com/;NA;NA;bossip
1032;Breaking First;extreme right;questionable;https://breakingfirst.com/;NA;NA;breakingfirst
1033;Breaking Wide;Right;questionable;https://breakingwide.com/;NA;NA;breakingwide
1034;The Budapest Beacon;Left-Center;reliable;https://budapestbeacon.com/;Left-Center;;budapestbeacon
1035;The Buffalo Chroicle;Right;questionable;https://buffalochronicle.com;;;buffalochronicle
1036;Bugout.news;extreme right;questionable;https://bugout.news/#;NA;NA;bugout
1037;Center for a Stateless Society;left;reliable;https://c4ss.org/;Right-Center;;c4ss
1038;Cambridge Analytica;Right;reliable;https://ca-political.com;Right;;ca-political
1039;California Globe;Right-Center;reliable;https://californiaglobe.com/;Right-Center;;californiaglobe
1040;CalWatchdog.com;Left-Center;reliable;https://calwatchdog.com;Left-Center;;calwatchdog
1041;CampusInsanity.com;extreme right;questionable;https://campusinsanity.com/;NA;NA;campusinsanity
1042;Canadian Dimension;left;reliable;https://canadiandimension.com/;Left;;canadiandimension
1043;The Council of Canadians;Left-Center;reliable;https://canadians.org/;Left-Center;;canadians
1044;Cancer.news;extreme right;questionable;https://cancer.news/;NA;NA;cancer
1045;Capital & Main;left;reliable;https://capitalandmain.com;Left;;capitalandmain
1046;Capital Research Center;Right;reliable;https://capitalresearch.org/;Right;;capitalresearch
1047;Capitol Fax;least;reliable;https://capitolfax.com;least;;capitolfax
1048;Christian Apologetics & Research Ministry (CARM);NA;questionable;https://carm.org;NA;NA;carm
1049;Competitive Enterprise Institute;Right;questionable;https://cei.org/;Right-Center;;cei
1050;Central OC Times;Right-Center;questionable;https://centraloctimes.com/;NA;NA;centraloctimes
1051;Check Your Fact;Right-Center;reliable;https://checkyourfact.com/;Right-Center;;checkyourfact
